Neuron 0 → Top40 frames
   Video 3, Frame 1322, Value 3.2912
   Video 3, Frame 1321, Value 3.2830
   Video 11, Frame 1014, Value 3.2812
   Video 16, Frame 1094, Value 3.2789
   Video 3, Frame 1320, Value 3.2768
   Video 3, Frame 1312, Value 3.2732
   Video 11, Frame 1015, Value 3.2695
   Video 3, Frame 1317, Value 3.2693
   Video 3, Frame 1319, Value 3.2686
   Video 3, Frame 1316, Value 3.2678
   Video 3, Frame 1315, Value 3.2662
   Video 3, Frame 1336, Value 3.2659
   Video 11, Frame 1017, Value 3.2605
--------------------------------------------------
Neuron 15 → Top40 frames
   Video 28, Frame 1732, Value 5.6856
   Video 8, Frame 2358, Value 5.6853
   Video 28, Frame 1731, Value 5.6835
   Video 8, Frame 2357, Value 5.6834
   Video 15, Frame 2643, Value 5.6789
   Video 15, Frame 2642, Value 5.6776
   Video 6, Frame 4020, Value 5.6768
   Video 6, Frame 4021, Value 5.6732
   Video 8, Frame 2356, Value 5.6726
   Video 8, Frame 2373, Value 5.6725
   Video 8, Frame 2372, Value 5.6721
   Video 32, Frame 1027, Value 5.6719
   Video 28, Frame 1730, Value 5.6712
   Video 8, Frame 2371, Value 5.6703
   Video 6, Frame 4035, Value 5.6700
   Video 6, Frame 4036, Value 5.6699
   Video 8, Frame 2374, Value 5.6697
   Video 6, Frame 4034, Value 5.6692
   Video 15, Frame 2658, Value 5.6686
   Video 6, Frame 4019, Value 5.6683
   Video 8, Frame 2370, Value 5.6680
   Video 15, Frame 2657, Value 5.6680
   Video 8, Frame 2368, Value 5.6678
   Video 8, Frame 2369, Value 5.6675
   Video 15, Frame 2656, Value 5.6668
   Video 15, Frame 2641, Value 5.6667
   Video 6, Frame 4032, Value 5.6656
   Video 14, Frame 1805, Value 5.6654
   Video 6, Frame 4033, Value 5.6650
   Video 15, Frame 2659, Value 5.6645
   Video 8, Frame 2367, Value 5.6641
   Video 15, Frame 2655, Value 5.6640
   Video 15, Frame 2654, Value 5.6633
   Video 6, Frame 4031, Value 5.6633
   Video 14, Frame 1804, Value 5.6632
   Video 15, Frame 2653, Value 5.6626
   Video 32, Frame 1026, Value 5.6618
   Video 28, Frame 1742, Value 5.6613
   Video 32, Frame 1028, Value 5.6603
   Video 6, Frame 4030, Value 5.6593
--------------------------------------------------
Neuron 16 → Top40 frames
   Video 31, Frame 1028, Value 4.5756
   Video 4, Frame 1024, Value 4.5705
   Video 31, Frame 1029, Value 4.5700
   Video 31, Frame 1030, Value 4.5669
   Video 8, Frame 1130, Value 4.5627
   Video 31, Frame 1027, Value 4.5597
   Video 4, Frame 1025, Value 4.5590
   Video 8, Frame 1129, Value 4.5568
   Video 8, Frame 1131, Value 4.5565
   Video 8, Frame 1128, Value 4.5511
   Video 31, Frame 1031, Value 4.5483
   Video 24, Frame 927, Value 4.5459
   Video 26, Frame 914, Value 4.5447
