   Video 34, Frame 800, Value 1.9613
   Video 34, Frame 801, Value 1.9621
   Video 34, Frame 802, Value 1.9621
   Video 34, Frame 803, Value 1.9619
   Video 34, Frame 804, Value 1.9619
   Video 34, Frame 805, Value 1.9624
   Video 34, Frame 806, Value 1.9623
   Video 34, Frame 807, Value 1.9620
   Video 34, Frame 808, Value 1.9642
   Video 34, Frame 809, Value 1.9637
   Video 34, Frame 810, Value 1.9624
   Video 34, Frame 811, Value 1.9623
   Video 34, Frame 812, Value 1.9632
   Video 34, Frame 813, Value 1.9633
   Video 34, Frame 814, Value 1.9635
   Video 34, Frame 815, Value 1.9639
   Video 34, Frame 816, Value 1.9609
   Video 34, Frame 817, Value 1.9615
   Video 34, Frame 818, Value 1.9613
   Video 34, Frame 819, Value 1.9620
   Video 34, Frame 820, Value 1.9629
   Video 34, Frame 821, Value 1.9627
   Video 34, Frame 822, Value 1.9625
   Video 34, Frame 823, Value 1.9603
   Video 38, Frame 780, Value 1.9604
   Video 38, Frame 781, Value 1.9609
   Video 38, Frame 782, Value 1.9613
   Video 38, Frame 783, Value 1.9612
   Video 38, Frame 784, Value 1.9600
   Video 38, Frame 785, Value 1.9602
   Video 38, Frame 792, Value 1.9599
   Video 38, Frame 793, Value 1.9600
   Video 38, Frame 794, Value 1.9608
   Video 38, Frame 795, Value 1.9602
   Video 38, Frame 801, Value 1.9605
   Video 38, Frame 802, Value 1.9609
   Video 38, Frame 803, Value 1.9600
   Video 38, Frame 804, Value 1.9599
--------------------------------------------------
Neuron 6 → max=5.7843, min=0.0000, thr=5.7669
   Video 0, Frame 1479, Value 5.7843
   Video 2, Frame 5104, Value 5.7684
   Video 24, Frame 1608, Value 5.7713
   Video 25, Frame 1512, Value 5.7836
   Video 33, Frame 1097, Value 5.7711
--------------------------------------------------
Neuron 7 → max=4.5477, min=0.0000, thr=4.5341
   Video 31, Frame 1885, Value 4.5348
   Video 31, Frame 1886, Value 4.5470
   Video 31, Frame 1887, Value 4.5465
   Video 31, Frame 1888, Value 4.5473
   Video 31, Frame 1889, Value 4.5477
   Video 31, Frame 1890, Value 4.5379
--------------------------------------------------
Neuron 8 → max=3.5768, min=0.0000, thr=3.5661
   Video 13, Frame 647, Value 3.5692
   Video 13, Frame 648, Value 3.5748
   Video 13, Frame 649, Value 3.5768
--------------------------------------------------
Neuron 9 → max=3.9766, min=0.0000, thr=3.9647
   Video 35, Frame 2232, Value 3.9687
   Video 35, Frame 2233, Value 3.9732
   Video 35, Frame 2234, Value 3.9664
   Video 35, Frame 2235, Value 3.9647
   Video 35, Frame 2236, Value 3.9695
   Video 35, Frame 2237, Value 3.9758
   Video 35, Frame 2238, Value 3.9766
   Video 35, Frame 2239, Value 3.9761
   Video 35, Frame 2240, Value 3.9715
   Video 35, Frame 2241, Value 3.9685
   Video 35, Frame 2242, Value 3.9701
   Video 35, Frame 2243, Value 3.9723
--------------------------------------------------
Neuron 10 → max=3.1838, min=0.0000, thr=3.1742
   Video 1, Frame 338, Value 3.1745
   Video 1, Frame 339, Value 3.1750
   Video 1, Frame 340, Value 3.1773
   Video 1, Frame 341, Value 3.1761
   Video 1, Frame 342, Value 3.1764
   Video 1, Frame 343, Value 3.1761
   Video 1, Frame 344, Value 3.1782
   Video 1, Frame 345, Value 3.1780
   Video 1, Frame 346, Value 3.1803
   Video 1, Frame 347, Value 3.1803
   Video 1, Frame 348, Value 3.1806
   Video 1, Frame 349, Value 3.1806
   Video 1, Frame 350, Value 3.1791
   Video 1, Frame 351, Value 3.1796
   Video 1, Frame 352, Value 3.1806
   Video 1, Frame 353, Value 3.1815
   Video 1, Frame 354, Value 3.1809
   Video 1, Frame 355, Value 3.1812
   Video 1, Frame 356, Value 3.1815
   Video 1, Frame 357, Value 3.1811
   Video 1, Frame 358, Value 3.1806
   Video 1, Frame 359, Value 3.1806
   Video 1, Frame 360, Value 3.1825
   Video 1, Frame 361, Value 3.1814
   Video 1, Frame 362, Value 3.1834
   Video 1, Frame 363, Value 3.1824
   Video 1, Frame 364, Value 3.1829
   Video 1, Frame 365, Value 3.1818
   Video 1, Frame 366, Value 3.1811
   Video 1, Frame 367, Value 3.1818
   Video 1, Frame 368, Value 3.1817
   Video 1, Frame 369, Value 3.1825
   Video 1, Frame 370, Value 3.1821
   Video 1, Frame 371, Value 3.1822
   Video 1, Frame 372, Value 3.1815
   Video 1, Frame 373, Value 3.1823
   Video 1, Frame 374, Value 3.1818
   Video 1, Frame 375, Value 3.1827
   Video 1, Frame 376, Value 3.1822
   Video 1, Frame 377, Value 3.1827
   Video 1, Frame 378, Value 3.1815
   Video 1, Frame 379, Value 3.1827
   Video 1, Frame 380, Value 3.1826
   Video 1, Frame 381, Value 3.1824
   Video 1, Frame 382, Value 3.1829
   Video 1, Frame 383, Value 3.1838
   Video 23, Frame 344, Value 3.1759
   Video 23, Frame 345, Value 3.1757
   Video 23, Frame 346, Value 3.1759
   Video 23, Frame 347, Value 3.1762
   Video 23, Frame 348, Value 3.1762
   Video 23, Frame 349, Value 3.1758
   Video 23, Frame 350, Value 3.1748
   Video 23, Frame 351, Value 3.1751
   Video 23, Frame 352, Value 3.1797
   Video 23, Frame 353, Value 3.1809
   Video 23, Frame 354, Value 3.1810
   Video 23, Frame 355, Value 3.1809
   Video 23, Frame 356, Value 3.1818
   Video 23, Frame 357, Value 3.1823
   Video 23, Frame 358, Value 3.1821
   Video 23, Frame 359, Value 3.1814
   Video 23, Frame 360, Value 3.1818
   Video 23, Frame 361, Value 3.1824
   Video 23, Frame 362, Value 3.1831
   Video 23, Frame 363, Value 3.1831
   Video 23, Frame 364, Value 3.1830
   Video 23, Frame 365, Value 3.1826
   Video 23, Frame 366, Value 3.1805
   Video 23, Frame 367, Value 3.1815
   Video 23, Frame 368, Value 3.1814
   Video 23, Frame 369, Value 3.1820
   Video 23, Frame 370, Value 3.1809
   Video 23, Frame 371, Value 3.1820
   Video 23, Frame 372, Value 3.1817
   Video 23, Frame 373, Value 3.1813
   Video 23, Frame 374, Value 3.1805
   Video 23, Frame 375, Value 3.1809
   Video 23, Frame 376, Value 3.1789
   Video 23, Frame 377, Value 3.1797
   Video 23, Frame 378, Value 3.1794
   Video 23, Frame 379, Value 3.1806
   Video 23, Frame 380, Value 3.1797
   Video 23, Frame 381, Value 3.1803
   Video 23, Frame 382, Value 3.1796
   Video 23, Frame 383, Value 3.1793
--------------------------------------------------
Neuron 11 → max=6.5270, min=0.0000, thr=6.5074
   Video 5, Frame 2096, Value 6.5270
   Video 5, Frame 2097, Value 6.5198
   Video 19, Frame 1419, Value 6.5153
   Video 19, Frame 1420, Value 6.5210
   Video 19, Frame 1421, Value 6.5220
   Video 19, Frame 1422, Value 6.5201
   Video 19, Frame 1423, Value 6.5177
   Video 19, Frame 1424, Value 6.5214
   Video 19, Frame 1425, Value 6.5251
   Video 19, Frame 1426, Value 6.5242
   Video 19, Frame 1427, Value 6.5232
   Video 19, Frame 1428, Value 6.5209
   Video 19, Frame 1429, Value 6.5207
--------------------------------------------------
Neuron 12 → max=4.2512, min=0.0000, thr=4.2385
   Video 6, Frame 4422, Value 4.2386
   Video 6, Frame 4423, Value 4.2412
   Video 6, Frame 4424, Value 4.2441
   Video 6, Frame 4425, Value 4.2446
   Video 6, Frame 4426, Value 4.2458
   Video 6, Frame 4427, Value 4.2454
   Video 6, Frame 4428, Value 4.2458
   Video 6, Frame 4429, Value 4.2456
   Video 6, Frame 4430, Value 4.2452
   Video 6, Frame 4431, Value 4.2438
   Video 6, Frame 4432, Value 4.2440
   Video 6, Frame 4433, Value 4.2445
   Video 6, Frame 4434, Value 4.2451
   Video 6, Frame 4435, Value 4.2467
   Video 6, Frame 4436, Value 4.2474
   Video 6, Frame 4437, Value 4.2483
   Video 6, Frame 4438, Value 4.2475
   Video 6, Frame 4439, Value 4.2492
   Video 6, Frame 4440, Value 4.2510
   Video 6, Frame 4441, Value 4.2501
   Video 6, Frame 4442, Value 4.2505
   Video 6, Frame 4443, Value 4.2504
   Video 6, Frame 4444, Value 4.2512
   Video 6, Frame 4445, Value 4.2506
   Video 6, Frame 4446, Value 4.2502
   Video 6, Frame 4447, Value 4.2497
   Video 6, Frame 4448, Value 4.2487
   Video 6, Frame 4449, Value 4.2490
   Video 6, Frame 4450, Value 4.2461
   Video 6, Frame 4451, Value 4.2393
   Video 6, Frame 4452, Value 4.2428
   Video 6, Frame 4453, Value 4.2436
   Video 6, Frame 4454, Value 4.2484
   Video 6, Frame 4455, Value 4.2483
   Video 6, Frame 4456, Value 4.2489
   Video 6, Frame 4457, Value 4.2496
   Video 6, Frame 4458, Value 4.2484
   Video 6, Frame 4459, Value 4.2469
   Video 6, Frame 4460, Value 4.2484
   Video 6, Frame 4461, Value 4.2485
   Video 6, Frame 4462, Value 4.2484
   Video 6, Frame 4463, Value 4.2484
   Video 6, Frame 4464, Value 4.2484
   Video 6, Frame 4465, Value 4.2486
   Video 6, Frame 4466, Value 4.2458
--------------------------------------------------
Neuron 13 → max=3.8681, min=0.0000, thr=3.8565
   Video 30, Frame 3802, Value 3.8681
   Video 30, Frame 3803, Value 3.8655
--------------------------------------------------
Neuron 14 → max=3.3270, min=0.0000, thr=3.3170
   Video 3, Frame 1309, Value 3.3220
   Video 3, Frame 1310, Value 3.3270
--------------------------------------------------
Neuron 15 → max=5.6856, min=0.0000, thr=5.6686
   Video 6, Frame 4020, Value 5.6768
   Video 6, Frame 4021, Value 5.6732
   Video 6, Frame 4034, Value 5.6692
   Video 6, Frame 4035, Value 5.6700
   Video 6, Frame 4036, Value 5.6699
   Video 8, Frame 2356, Value 5.6726
   Video 8, Frame 2357, Value 5.6834
   Video 8, Frame 2358, Value 5.6853
   Video 8, Frame 2371, Value 5.6703
   Video 8, Frame 2372, Value 5.6721
   Video 8, Frame 2373, Value 5.6725
   Video 8, Frame 2374, Value 5.6697
   Video 15, Frame 2642, Value 5.6776
   Video 15, Frame 2643, Value 5.6789
   Video 15, Frame 2658, Value 5.6686
   Video 28, Frame 1730, Value 5.6712
   Video 28, Frame 1731, Value 5.6835
   Video 28, Frame 1732, Value 5.6856
   Video 32, Frame 1027, Value 5.6719
--------------------------------------------------
Neuron 16 → max=4.5756, min=0.0000, thr=4.5619
   Video 4, Frame 1024, Value 4.5705
   Video 8, Frame 1130, Value 4.5627
